id,molecule_name,atom_index_0,atom_index_1,type,scalar_coupling_constant
18272,dsgdb9nsd_000948,7,0,1JHN,61.0422
18273,dsgdb9nsd_000948,7,1,2JHC,1.46088
18274,dsgdb9nsd_000948,7,2,3JHN,3.4738800000000003
18275,dsgdb9nsd_000948,7,6,3JHN,-0.1796
18276,dsgdb9nsd_000948,7,8,2JHH,6.99533
18277,dsgdb9nsd_000948,8,0,1JHN,61.0422
18278,dsgdb9nsd_000948,8,1,2JHC,1.46089
18279,dsgdb9nsd_000948,8,2,3JHN,-0.17960299999999998
18280,dsgdb9nsd_000948,8,6,3JHN,3.4738800000000003
18281,dsgdb9nsd_000948,9,1,3JHC,8.92062
18282,dsgdb9nsd_000948,9,2,2JHN,11.9933
18283,dsgdb9nsd_000948,9,3,1JHC,128.713
18284,dsgdb9nsd_000948,9,4,2JHN,11.3768
18285,dsgdb9nsd_000948,9,5,3JHC,7.927389999999999
18286,dsgdb9nsd_000948,10,1,3JHC,8.92067
18287,dsgdb9nsd_000948,10,3,3JHC,7.92735
18288,dsgdb9nsd_000948,10,4,2JHN,11.3768
18289,dsgdb9nsd_000948,10,5,1JHC,128.713
18290,dsgdb9nsd_000948,10,6,2JHN,11.9933
18779,dsgdb9nsd_000980,7,0,1JHN,47.6419
18780,dsgdb9nsd_000980,7,1,2JHC,-3.8152199999999996
18781,dsgdb9nsd_000980,7,2,3JHC,3.59882
18782,dsgdb9nsd_000980,7,8,2JHH,-8.36523
18783,dsgdb9nsd_000980,8,0,1JHN,48.2538
18784,dsgdb9nsd_000980,8,1,2JHC,2.04474
18785,dsgdb9nsd_000980,8,2,3JHC,1.4279
18786,dsgdb9nsd_000980,9,1,3JHC,5.34395
18787,dsgdb9nsd_000980,9,2,2JHC,-4.29007
18788,dsgdb9nsd_000980,9,4,3JHN,-0.32108000000000003
18789,dsgdb9nsd_000980,10,1,3JHC,1.6217
18790,dsgdb9nsd_000980,10,2,3JHC,7.12993
18791,dsgdb9nsd_000980,10,4,2JHN,10.7716
18792,dsgdb9nsd_000980,10,5,1JHC,137.584
19575,dsgdb9nsd_001013,7,1,3JHC,1.3562
19576,dsgdb9nsd_001013,7,2,2JHC,13.2472
19577,dsgdb9nsd_001013,7,3,1JHC,142.918
19578,dsgdb9nsd_001013,7,4,2JHN,9.22081
19579,dsgdb9nsd_001013,7,5,3JHC,10.624
19580,dsgdb9nsd_001013,7,6,3JHN,1.45645
19581,dsgdb9nsd_001013,8,2,3JHC,2.48486
19582,dsgdb9nsd_001013,8,3,3JHC,8.46304
19583,dsgdb9nsd_001013,8,4,2JHN,9.79059
19584,dsgdb9nsd_001013,8,5,1JHC,131.923
19585,dsgdb9nsd_001013,8,6,2JHN,7.5879
19586,dsgdb9nsd_001013,8,9,3JHH,-0.634452
19587,dsgdb9nsd_001013,9,1,3JHC,1.86831
19588,dsgdb9nsd_001013,9,2,2JHC,2.62505
19589,dsgdb9nsd_001013,9,3,3JHC,6.9950399999999995
