,episode_scores
0,-74.95711505476638
1,-74.95679514271053
2,-74.95852788458676
3,-74.95731191435884
4,-74.95698081410994
5,-74.95654225652946
6,-44.67542880256915
7,-72.60562402769911
8,-105.33204093641056
9,-140.96345830298887
10,-47.342669949069496
11,-135.6911893979241
12,-82.82552752306108
13,-113.99313728205688
14,-106.051582872908
15,-107.07011180555301
16,-112.79039914696187
17,-138.2162971773631
18,-83.20961158865282
19,-108.37275065895211
20,-71.6084617015884
21,-45.041463000712334
22,-46.16230274459254
23,-145.8522042967331
24,-45.86382521849874
25,-49.32139017368163
26,-92.72320886473346
27,-78.2757621394246
28,-58.98025900965375
29,-16.8530351272428
30,-2.6715697937758787
31,-127.35805963710044
32,-43.613880233192155
33,-40.23151151700451
34,-125.032842225578
35,-38.82525650555541
36,-156.75702319479805
37,-121.00502362502978
38,-39.413615663012386
39,-113.42515095813646
40,-94.71875311749037
41,-43.515354626490726
42,-53.618835388215736
43,-110.06518316449522
44,-143.90837143452356
45,-75.54000727923736
46,-101.76496542828073
47,-72.91049807696125
48,-72.79842952468083
49,-112.54672228437515
50,-68.04313629521863
51,-48.002889031786005
52,-43.55056845766728
53,-74.23554458844511
54,-95.42506424431998
55,-70.23664887508865
56,-116.88183611232775
57,-46.434637064416215
58,-107.49826310609443
59,-73.0028374113247
60,-129.86984254551209
61,-116.79320464912455
62,-91.9479845912265
63,-82.66471467738873
64,-107.4374826985072
65,-140.3745664937408
66,-108.29254425245458
67,-135.07090878378722
68,-135.56131608547526
69,-146.6764893246138
70,-73.33716014008564
71,-78.7304969693247
72,-30.734733152420976
73,-100.20311204572634
74,-82.60497795749997
75,-157.499346240222
76,-110.74996120165196
77,-117.30776271047871
78,-41.28307047596713
79,-46.59488342322075
80,-46.33057317074567
81,-135.24528721636565
82,-101.1433021760341
83,-102.94819484300619
84,-42.54165305166788
85,-117.78821823230723
86,-130.16769227411936
87,-31.77170067121105
88,-74.3231902608443
89,-92.9538012983934
90,-115.60240706362102
91,-57.75794588688233
92,-85.48050842456777
93,-89.02483333378602
94,-103.34468030194077
95,-100.24199906534733
96,-32.28500947406968
97,-104.30529152704361
98,-30.429783421329528
99,-115.62439015342561
100,-54.439455589501904
101,-88.41540670390098
102,-53.43636640950776
103,-101.38427073924127
104,-59.55969305478175
105,-69.10455689180937
106,-103.69805655165221
107,-50.16572480549691
108,-47.11428047475475
109,-73.95221393185066
110,-89.01227620578686
111,-103.97338752665439
112,-104.81850251499732
113,-138.6841073045553
114,-33.41148264368167
115,-31.261204065777005
116,-34.425813617028986
117,-79.3633293344046
118,-70.29426091714512
119,-108.55491852415881
120,-81.50031262393588
121,-64.16155502007031
122,-57.373736946335335
123,-66.86842357986535
124,-108.2181595451264
125,-5.73162215999007
126,-79.26096171634147
127,-73.35272181680416
128,-73.33629966891853
129,-140.54394657431953
130,-41.48391977927431
131,-117.2681671520662
132,-2.4025235374815073
133,-42.877886671816974
134,-134.39648172297925
135,-76.31258806612526
136,-76.22820274388229
137,-113.63218322289578
138,-48.96665283187188
139,-48.96665283317076
140,-48.966652832652784
141,-48.96665283160074
142,-48.96662080665882
143,-48.96665283128775
144,-72.5704715256981
145,-48.966652829925295
146,-118.31540576832342
147,-48.96665283210359
148,-141.0091685530605
149,-48.96665283315461
150,-48.96665283313035
151,-48.96665283302495
152,-48.96665281270002
153,-48.96644559924933
154,-46.01180319219641
155,-77.60744087486314
156,-103.48990295761907
157,-103.96570848519981
158,-134.1494695602986
159,-75.85969260016452
160,-75.89293495237612
161,-133.73585462555934
162,-103.59066429462113
163,-129.26136463405294
164,-129.2383577063104
165,-90.46895635335945
166,-64.62310043725134
167,-98.79249468931502
168,-103.18650149167651
169,-72.73412940986124
170,-89.48568945217221
171,-79.15033394374251
172,-106.33112854854902
173,-116.02905928586932
174,-87.24761221003787
175,-41.45900097785689
176,-96.20887765086319
177,-52.242498759616836
178,-79.33951955937452
179,-29.16502340188835
180,-68.79106161092486
181,-28.83012265404703
182,-29.63962753863829
183,-54.227380556889905
184,-76.81368017259763
185,-39.73235400213262
186,-39.96187443546725
187,-57.53785291256218
188,-70.44637056741334
189,-150.81149363633227
190,-67.21687811057423
191,-121.16525213454403
192,-115.71281612467283
193,-143.67539937514096
194,-45.33655458725422
195,-124.50259825415672
196,-44.26008070991641
197,-52.36651998238621
198,-143.3232071819841
199,-79.10902413758542
200,-44.65635160623781
201,-136.13549445332774
202,-94.1263635261677
203,-47.81755012795363
204,-127.12184498383893
205,-134.05836235919148
206,-103.82644577271954
207,-73.51480706926053
208,-133.98018085622746
209,-103.85784076926427
210,-134.14659491964707
211,-75.89386970952778
212,-139.0979058636348
213,-102.24798180523022
