,episode_scores
0,-72.63617788030624
1,-72.33251836853624
2,-72.58373750414106
3,-72.45092777517837
4,-72.58390362403784
5,-72.43514251127168
6,-72.38445775145792
7,-72.6904192971553
8,-72.49276473854378
9,-72.45188313637992
10,-79.48316295111832
11,-83.27184371642466
12,-42.08256558243602
13,-77.7507373632436
14,-71.40452074114047
15,-98.14880287154024
16,-60.00492324901188
17,-82.8019415706119
18,-32.20794071579783
19,-56.26506223401674
20,-74.97524977844279
21,-53.80598476559203
22,-51.33812990551822
23,-22.186964478017032
24,-32.27078311550562
25,-45.360424507618255
26,-19.63871177509929
27,-38.89875054324545
28,-83.8562125920745
29,-92.78956226546235
30,-48.64401754600528
31,-74.80304924941537
32,-52.34157072089499
33,-84.08514208586251
34,-77.7982700035837
35,-110.09940989199026
36,-110.27433183732927
37,-77.82546736652537
38,-99.15868204678782
39,-83.25967722589823
40,-83.42030317550545
41,-109.16007267236141
42,-109.7005985821135
43,-109.55942198068468
44,-59.42332769464849
45,-62.53101593571786
46,-106.00018254856039
47,-61.62020284716962
48,-105.7064892408613
49,-80.46761023250657
50,-118.42823335685277
51,-55.049399909422476
52,-107.20407837011615
53,-107.10865117951418
54,-54.530880062597696
55,-79.77374994022733
56,-81.77953390039102
57,-109.58894132834985
58,-94.1449408338426
59,-56.62445558670331
60,-60.95792155537192
61,-101.03247697521167
62,-86.24400091246524
63,-86.50301870146615
64,-101.49218034851322
65,-101.65951077101019
66,-102.0262394013131
67,-78.37812120546332
68,-98.32629565373288
69,-82.71326749118184
70,-108.99844291057065
71,-122.37003570207904
72,-98.5965732124284
73,-109.07806936274662
74,-83.84583366505785
75,-97.8878903224099
76,-98.11883749690881
77,-102.94308375481586
78,-70.66945481501752
79,-90.84429955393408
80,-78.42068594871246
81,-60.44346075020596
82,-78.37274543486866
83,-92.04877164068057
84,-91.52637976787531
85,-82.88705088923619
86,-57.4177848926295
87,-99.63241603253653
88,-78.9743847961489
89,-61.33234597013269
90,-101.50695887570741
91,-61.38206793179778
92,-101.85565534260175
93,-99.69810168424654
94,-55.88787133065206
95,-101.21932428504574
96,-76.74333930322793
97,-85.2021485435542
98,-78.69878401837904
99,-90.00719020612651
100,-86.73147870525867
101,-51.05071589817759
102,-66.32199398838523
103,-110.22972698340647
104,-135.3708835532719
105,-76.20121739214588
106,-97.19433339026509
107,-56.75281711884499
108,-75.41333013220591
109,-83.4229708914848
110,-83.67374981926375
111,-83.39411899770094
112,-83.07433466411888
113,-83.20260834505751
114,-83.62970155169032
115,-83.49568157860759
116,-83.19895005600016
117,-83.17235151588251
118,-83.14333433291205
119,-83.27272755376688
120,-83.25074147799465
121,-83.15691452148319
122,-57.855742732032546
123,-57.87415181714717
124,-57.921415856547
125,-58.055740000211344
126,-57.98698075643022
127,-57.87873972184271
128,-57.8611021705487
129,-57.8708075583977
130,-57.992078379530035
131,-57.96575949743595
132,-57.91194986266012
133,-83.30259206304066
134,-57.76700006077952
135,-57.780605139359395
136,-83.12674424101922
137,-83.23769455882342
138,-83.12947399361263
139,-83.12784811747994
140,-83.34032288216152
141,-83.5260005492292
142,-83.39793780929642
143,-109.16384752163228
144,-84.34152293807044
145,-122.28892304300943
146,-58.35179704535704
147,-58.419236308196886
148,-83.58877714406516
149,-83.89100153664441
150,-99.9209534308985
151,-84.88377224412336
152,-70.63056846011219
153,-89.30017389340338
154,-98.45331497753045
155,-64.65475143978688
156,-60.06070784283856
157,-57.18066643976363
158,-100.7961351503236
159,-58.43822098151722
160,-103.54328813768173
161,-55.09652426952543
162,-66.92375867298944
163,-106.49661179041004
164,-105.69830298476798
165,-81.4768491211912
166,-82.30853070835886
167,-97.65903356064865
168,-33.101566257917575
169,-83.65511442708807
170,-94.4188545288868
171,-25.555260413766
172,-40.18960764285829
173,-39.74095938445582
174,-23.74840669587512
175,-10.513437772431843
176,-74.84461617979187
177,-93.40097910465771
178,-58.77956445119138
179,-63.408697900326935
180,-51.45452799863798
181,-87.44839863109546
182,-41.257716780286565
183,-56.382758552588825
184,-33.03654769048401
185,-32.051265918136885
186,-41.45118235034904
187,-63.55226840811793
188,-94.89878216625371
189,-49.152765016270436
190,-94.37597982658691
191,-94.86992280429872
192,-97.43572719758735
193,-56.682340527656024
194,-57.418493025721105
195,-57.522867391798094
196,-82.60343362240297
197,-74.61308982210008
198,-74.24568512656262
199,-74.32747493140712
200,-74.32746319091322
201,-52.094118650577215
202,-92.61459189089823
203,-77.11157015487427
204,-84.7788761668782
205,-54.823310255467845
206,-97.35936912819707
207,-74.70963485435082
208,-81.28967903006787
209,-118.78233223959437
210,-106.67880824795601
211,-82.84495783224129
212,-98.7136396045993
213,-55.13707035522826
214,-82.64957787912127
215,-73.75366113392182
216,-49.41745364800921
217,-70.84420251894024
218,-107.64102644924803
219,-65.93793591763722
220,-110.09370728322246
221,-84.4507102521139
222,-109.02335144446106
223,-84.68334270184675
224,-60.147609670390025
225,-99.60179564426896
226,-99.1795379630925
227,-61.360754027877405
228,-85.50914122540826
229,-80.52437242939777
230,-45.05393878562224
231,-41.874328275386155
232,-41.99359876339131
233,-33.729847962537704
234,-44.850312444333014
235,-51.943819915566095
236,-55.8795667202989
237,-35.93602326757953
238,-49.693323171443176
239,-55.978757149063554
240,-49.37732144345889
241,-38.8019963662136
242,-32.876785655437246
243,-43.284837569208634
244,-43.32970357877891
245,-29.508641822437994
246,-31.554724943724256
247,-34.69208261678805
248,-41.50128091532312
249,-50.134443064263486
250,-65.89126942180401
251,-92.71674557760417
252,-64.58326284232304
253,-72.74540433928367
254,-91.92561277325687
255,-37.6193775810516
256,-73.5727051843272
257,-54.562204879674645
258,-54.79147163818453
259,-54.472247476235644
260,-32.90753442195757
261,-68.53708661330077
262,-89.55344765911144
263,-68.6390882430671
264,-48.49957659583027
265,-48.606626873535404
266,-43.25146246389276
267,-78.94571887358839
268,-49.944080032036545
269,-52.36587386682868
270,-49.889441954972305
271,-49.67635427934977
272,-39.39059966432132
273,-62.524092179503555
274,-84.53186493827279
275,-70.82859467160633
276,-65.20264905772859
277,-65.267793739458
278,-65.10510296954975
279,-65.08792769827177
280,-64.81902110279742
281,-112.31144986273016
282,-81.8172606149207
283,-108.3182109957407
284,-55.99967089061584
285,-77.78329141949061
286,-79.00669278814398
287,-85.75050343863205
288,-59.026583178143355
289,-94.20430292794742
290,-42.59175733615397
291,-68.53041557873956
292,-71.13129422415288
293,-70.90187621519057
294,-133.4116294837065
295,-102.96164943136161
296,-102.20492280328922
297,-68.10354640060778
298,-81.30385251042782
299,-81.01941691092445
300,-80.51450044982874
301,-80.25482202187833
302,-89.01353913553726
303,-59.94798413100237
304,-78.58220336932214
305,-27.673396387051426
306,-86.41817252271652
307,-29.864912209426855
308,-54.963784440529615
309,-53.509426445551775
