,episode_scores
0,-239.16666666666669
1,-239.16666666666669
2,-239.16666666666669
3,-239.16666666666669
4,-239.16666666666669
5,-129.2820512820513
6,-129.2820512820513
7,-239.16666666666669
8,-239.16666666666669
9,-239.16666666666669
10,-140.13888888888889
11,-251.8
12,-279.6666666666667
13,-372.14814814814815
14,-210.20833333333334
15,-210.45833333333334
16,-314.5
17,-252.2
18,-335.43333333333334
19,-372.3703703703704
20,-210.45833333333334
21,-210.45833333333334
22,-210.45833333333334
23,-372.3703703703704
24,-372.3703703703704
25,-252.2
26,-280.02777777777777
27,-210.45833333333334
28,-279.8888888888889
29,-228.63636363636363
30,-227.9090909090909
31,-229.54545454545453
32,-252.2
33,-210.66666666666666
34,-210.45833333333334
35,-168.96666666666667
36,-168.96666666666667
37,-168.96666666666667
38,-372.3703703703704
39,-153.87878787878788
40,-305.21212121212125
41,-168.96666666666667
42,-303.57575757575756
43,-168.76666666666668
44,-167.36666666666667
45,-228.8181818181818
46,-322.2820512820513
47,-252.2
48,-305.21212121212125
49,-335.43333333333334
50,-187.40740740740742
51,-210.45833333333334
52,-372.3703703703704
53,-279.8888888888889
54,-279.8888888888889
55,-314.5
56,-314.5
57,-252.2
58,-279.8888888888889
59,-305.21212121212125
60,-153.87878787878788
61,-252.2
62,-372.3703703703704
63,-168.96666666666667
64,-335.43333333333334
65,-168.96666666666667
66,-229.54545454545453
67,-153.87878787878788
68,-229.54545454545453
69,-130.66666666666669
70,-139.80555555555557
71,-127.43589743589745
72,-228.63636363636363
73,-305.21212121212125
74,-305.21212121212125
75,-335.43333333333334
76,-279.8888888888889
77,-252.2
78,-372.3703703703704
79,-252.2
80,-372.3703703703704
81,-372.3703703703704
82,-168.96666666666667
83,-335.43333333333334
84,-305.21212121212125
85,-229.54545454545453
86,-335.43333333333334
87,-187.40740740740742
88,-335.43333333333334
89,-279.8888888888889
90,-372.3703703703704
91,-252.2
92,-279.8888888888889
93,-279.8888888888889
94,-252.2
95,-279.8888888888889
96,-335.43333333333334
97,-252.0
98,-305.03030303030306
99,-229.1818181818182
100,-335.23333333333335
101,-252.0
102,-335.23333333333335
103,-279.8888888888889
104,-252.0
105,-335.43333333333334
106,-335.23333333333335
107,-305.21212121212125
108,-168.76666666666668
109,-372.14814814814815
110,-168.76666666666668
111,-279.6666666666667
112,-187.1851851851852
113,-186.07407407407408
114,-210.0
115,-153.51515151515153
116,-521.8333333333334
117,-370.5925925925926
118,-278.52777777777777
119,-185.62962962962965
120,-157.75
121,-313.25
122,-138.77777777777777
123,-31.61904761904762
124,-252.2
125,-258.71794871794873
126,-239.52380952380955
127,-187.01851851851853
128,-74.39393939393939
129,-359.0
130,-208.20833333333334
131,-279.22222222222223
132,-229.1818181818182
133,-240.0952380952381
134,-181.0
135,-418.2916666666667
136,-349.0555555555556
137,-158.375
138,-229.36363636363637
139,-153.51515151515153
140,-314.25
141,-418.2916666666667
142,-314.25
143,-239.80952380952382
144,-359.0
145,-276.19444444444446
146,-66.10666666666667
147,-279.19444444444446
148,-319.8205128205128
149,-312.75
150,-236.88095238095238
151,-187.1851851851852
152,-477.9047619047619
153,-137.80555555555557
154,-210.20833333333334
155,-50.304761904761904
156,-76.62121212121212
157,-65.2948717948718
158,-304.6666666666667
159,-113.51111111111112
160,-177.57142857142858
161,-145.35294117647058
162,-111.26086956521739
163,-314.5
164,-187.40740740740742
165,-99.2156862745098
166,-314.25
167,-277.19444444444446
168,-81.65079365079366
169,-251.4
170,-334.83333333333337
171,-186.07407407407408
172,-279.44444444444446
173,-334.03333333333336
174,-126.35897435897436
175,-210.45833333333334
176,-372.3703703703704
177,-186.74074074074076
178,-229.1818181818182
179,-335.43333333333334
180,-335.43333333333334
181,-208.0
182,-279.8888888888889
183,-187.40740740740742
184,-168.96666666666667
185,-279.8888888888889
186,-187.40740740740742
187,-279.8888888888889
188,-279.6666666666667
189,-372.14814814814815
190,-372.3703703703704
191,-187.40740740740742
192,-372.3703703703704
193,-186.74074074074076
194,-186.51851851851853
195,-279.0
196,-464.1851851851852
197,-279.0
198,-371.7037037037037
199,-371.7037037037037
200,-279.44444444444446
201,-209.70833333333334
202,-334.83333333333337
203,-303.93939393939394
204,-371.9259259259259
205,-418.4666666666667
206,-372.14814814814815
207,-210.20833333333334
208,-334.83333333333337
209,-279.22222222222223
210,-279.22222222222223
211,-371.9259259259259
212,-251.2
213,-371.03703703703707
214,-166.36666666666667
215,-348.3888888888889
216,-335.03333333333336
217,-371.9259259259259
218,-168.56666666666666
219,-304.8484848484849
220,-303.57575757575756
221,-186.96296296296296
222,-335.23333333333335
223,-252.0
224,-335.43333333333334
225,-279.8888888888889
226,-418.6666666666667
227,-252.2
228,-187.40740740740742
229,-210.45833333333334
230,-187.40740740740742
231,-228.8181818181818
232,-229.54545454545453
233,-252.2
234,-279.8888888888889
235,-335.43333333333334
236,-279.6666666666667
237,-168.56666666666666
238,-186.96296296296296
239,-186.96296296296296
240,-279.44444444444446
241,-194.07692307692307
242,-153.51515151515153
243,-279.69444444444446
244,-304.8484848484849
245,-225.72727272727272
246,-377.7878787878788
247,-335.03333333333336
248,-209.95833333333334
249,-418.2916666666667
250,-120.90476190476191
251,-418.2916666666667
252,-418.2916666666667
253,-186.96296296296296
254,-304.6666666666667
255,-251.8
256,-334.83333333333337
257,-168.36666666666667
258,-149.11764705882354
259,-120.97619047619048
260,-84.93333333333334
261,-304.6666666666667
262,-224.22222222222223
263,-177.64912280701756
264,-151.87878787878788
265,-279.22222222222223
266,-313.75
267,-279.44444444444446
268,-109.0
269,-100.50980392156863
270,-130.51282051282053
271,-121.57142857142857
272,-417.7916666666667
273,-279.36111111111114
274,-227.72727272727272
275,-279.22222222222223
276,-279.22222222222223
277,-186.74074074074076
278,-168.16666666666669
279,-334.83333333333337
280,-130.2051282051282
281,-83.08333333333334
282,-371.9259259259259
283,-279.44444444444446
284,-239.52380952380955
285,-464.40740740740745
286,-239.52380952380955
287,-44.391666666666666
288,-371.9259259259259
289,-251.6
290,-107.78260869565217
291,-184.2962962962963
292,-314.5
293,-207.95833333333334
294,-91.81481481481481
295,-99.66666666666667
296,-305.21212121212125
297,-418.6666666666667
298,-93.31481481481482
299,-239.30952380952382
300,-305.03030303030306
301,-153.69696969696972
302,-239.80952380952382
303,-304.8484848484849
304,-187.1851851851852
305,-186.96296296296296
306,-209.95833333333334
307,-314.0
308,-186.74074074074076
309,-250.8
310,-313.25
311,-358.14285714285717
312,-221.02222222222224
313,-168.76666666666668
314,-314.5
315,-418.5416666666667
316,-314.5
317,-187.40740740740742
318,-187.40740740740742
319,-251.8
320,-335.43333333333334
321,-372.3703703703704
322,-314.25
323,-252.0
324,-334.83333333333337
325,-303.93939393939394
326,-304.3030303030303
327,-140.66666666666666
328,-164.96666666666667
329,-332.6333333333333
330,-209.20833333333334
331,-372.14814814814815
332,-168.36666666666667
333,-185.62962962962965
334,-312.75
335,-104.10416666666667
336,-313.0
337,-276.36111111111114
338,-194.7843137254902
339,-194.07692307692307
340,-221.6888888888889
341,-256.5641025641026
342,-335.23333333333335
343,-118.83333333333334
344,-229.54545454545453
345,-279.6666666666667
346,-305.03030303030306
347,-186.2962962962963
348,-279.6666666666667
349,-110.57777777777778
350,-166.16666666666669
351,-334.83333333333337
352,-186.51851851851853
353,-276.1111111111111
354,-331.43333333333334
355,-206.66666666666666
356,-248.8
357,-209.20833333333334
358,-208.45833333333334
359,-332.43333333333334
360,-276.77777777777777
361,-158.375
362,-301.39393939393943
363,-150.06060606060606
364,-209.45833333333334
365,-221.42222222222225
366,-417.8666666666667
367,-126.2051282051282
368,-333.83333333333337
369,-177.0
370,-229.36363636363637
371,-186.07407407407408
372,-371.9259259259259
373,-279.44444444444446
374,-206.45833333333334
375,-206.16666666666666
376,-276.77777777777777
377,-304.4848484848485
378,-371.2592592592593
379,-372.14814814814815
380,-186.96296296296296
381,-314.25
382,-464.40740740740745
383,-333.83333333333337
384,-209.45833333333334
385,-277.22222222222223
386,-251.6
387,-279.44444444444446
388,-153.15151515151516
389,-252.2
390,-252.2
391,-372.3703703703704
392,-210.45833333333334
393,-280.02777777777777
394,-168.16666666666669
395,-153.15151515151516
396,-304.6666666666667
397,-279.6666666666667
398,-335.23333333333335
399,-348.8888888888889
400,-251.4
401,-192.69230769230768
402,-168.76666666666668
403,-187.1851851851852
404,-279.69444444444446
405,-250.8
406,-278.52777777777777
407,-167.76666666666668
408,-167.76666666666668
409,-167.76666666666668
410,-167.76666666666668
411,-167.76666666666668
412,-167.76666666666668
413,-167.76666666666668
414,-167.76666666666668
415,-167.96666666666667
416,-167.76666666666668
417,-379.7878787878788
418,-167.76666666666668
419,-304.1212121212121
420,-251.0
421,-167.76666666666668
422,-167.76666666666668
423,-167.76666666666668
424,-167.76666666666668
425,-167.76666666666668
426,-167.76666666666668
427,-379.7878787878788
428,-304.1212121212121
429,-167.76666666666668
430,-251.0
431,-251.2
432,-251.0
433,-167.76666666666668
434,-167.76666666666668
435,-167.76666666666668
436,-251.0
437,-304.1212121212121
438,-304.1212121212121
439,-228.45454545454547
440,-251.0
441,-228.45454545454547
442,-228.63636363636363
443,-167.96666666666667
444,-251.2
445,-251.2
446,-167.96666666666667
447,-167.96666666666667
448,-167.96666666666667
449,-251.2
450,-304.3030303030303
451,-167.96666666666667
452,-251.2
453,-167.96666666666667
454,-167.76666666666668
455,-379.7878787878788
456,-251.0
457,-251.0
458,-251.0
459,-251.0
460,-251.0
461,-251.0
462,-304.1212121212121
463,-251.0
464,-251.0
465,-251.0
466,-251.0
467,-251.0
468,-251.0
469,-251.0
470,-251.0
471,-251.0
472,-167.76666666666668
473,-251.0
474,-251.0
475,-167.76666666666668
476,-379.06060606060606
477,-303.57575757575756
478,-304.4848484848485
479,-304.8484848484849
480,-335.23333333333335
481,-187.1851851851852
482,-335.23333333333335
483,-187.40740740740742
484,-279.8888888888889
485,-187.40740740740742
486,-418.6666666666667
487,-279.8888888888889
488,-335.43333333333334
489,-335.43333333333334
490,-187.40740740740742
491,-372.3703703703704
492,-335.43333333333334
493,-187.40740740740742
494,-279.8888888888889
495,-372.3703703703704
496,-279.8888888888889
497,-279.8888888888889
498,-279.8888888888889
499,-187.40740740740742
500,-187.40740740740742
501,-252.2
502,-279.8888888888889
503,-279.8888888888889
504,-279.6666666666667
505,-187.40740740740742
506,-279.8888888888889
507,-418.6666666666667
508,-187.40740740740742
509,-187.40740740740742
510,-335.43333333333334
511,-187.40740740740742
512,-279.8888888888889
513,-372.3703703703704
514,-210.45833333333334
515,-279.8888888888889
516,-279.8888888888889
517,-335.43333333333334
518,-279.8888888888889
519,-372.3703703703704
520,-279.8888888888889
521,-279.8888888888889
522,-335.23333333333335
523,-335.23333333333335
524,-168.76666666666668
525,-229.0
526,-251.6
527,-304.8484848484849
528,-168.36666666666667
529,-229.0
530,-168.16666666666669
531,-228.8181818181818
532,-279.36111111111114
533,-279.36111111111114
534,-348.72222222222223
535,-251.4
536,-334.6333333333333
537,-334.6333333333333
538,-304.4848484848485
539,-334.6333333333333
540,-334.6333333333333
541,-251.4
542,-380.1515151515152
543,-251.4
544,-334.6333333333333
545,-334.6333333333333
546,-304.8484848484849
547,-335.23333333333335
548,-418.6666666666667
549,-335.43333333333334
550,-335.43333333333334
551,-335.43333333333334
552,-187.40740740740742
553,-187.40740740740742
554,-335.43333333333334
555,-335.43333333333334
556,-335.43333333333334
557,-168.96666666666667
558,-335.43333333333334
559,-251.8
560,-335.23333333333335
561,-335.23333333333335
562,-334.83333333333337
563,-167.96666666666667
564,-334.83333333333337
565,-186.96296296296296
566,-168.56666666666666
567,-186.74074074074076
568,-279.22222222222223
569,-186.2962962962963
570,-334.03333333333336
571,-226.0909090909091
572,-275.52777777777777
573,-206.83333333333334
574,-149.69696969696972
575,-257.02564102564105
576,-152.60606060606062
577,-227.72727272727272
578,-303.21212121212125
579,-150.42424242424244
580,-226.27272727272728
581,-276.02777777777777
582,-207.83333333333334
583,-149.87878787878788
584,-276.69444444444446
585,-150.24242424242425
586,-226.45454545454547
587,-166.96666666666667
588,-226.27272727272728
589,-150.24242424242425
590,-225.54545454545453
591,-251.2
592,-150.60606060606062
593,-278.19444444444446
594,-227.54545454545453
595,-321.35897435897436
596,-150.60606060606062
597,-209.5
598,-151.87878787878788
599,-179.85714285714286
600,-223.55555555555557
601,-223.55555555555557
602,-120.40476190476191
603,-239.30952380952382
604,-278.69444444444446
605,-139.97222222222223
606,-139.97222222222223
607,-139.97222222222223
608,-257.4871794871795
609,-278.69444444444446
610,-228.0909090909091
611,-129.43589743589743
612,-139.97222222222223
613,-321.51282051282055
614,-209.33333333333334
615,-193.46153846153845
616,-257.4871794871795
617,-139.97222222222223
618,-278.69444444444446
619,-278.69444444444446
620,-152.42424242424244
621,-193.46153846153845
622,-193.46153846153845
623,-278.52777777777777
624,-76.57575757575758
625,-209.16666666666666
626,-152.24242424242425
627,-321.35897435897436
628,-209.16666666666666
629,-209.16666666666666
630,-257.4871794871795
631,-223.55555555555557
632,-152.42424242424244
633,-209.16666666666666
634,-303.75757575757575
635,-139.80555555555557
636,-228.0909090909091
637,-139.80555555555557
638,-152.24242424242425
639,-152.24242424242425
640,-152.24242424242425
641,-209.16666666666666
642,-278.52777777777777
643,-347.8888888888889
644,-227.9090909090909
645,-152.24242424242425
646,-152.24242424242425
647,-227.72727272727272
648,-278.69444444444446
649,-321.51282051282055
650,-257.4871794871795
651,-152.42424242424244
652,-279.0444444444445
653,-278.69444444444446
654,-152.42424242424244
655,-139.97222222222223
656,-321.51282051282055
657,-257.4871794871795
658,-167.96666666666667
659,-279.8888888888889
660,-251.2
661,-167.96666666666667
662,-167.96666666666667
663,-167.96666666666667
664,-167.96666666666667
665,-304.3030303030303
666,-167.96666666666667
667,-228.63636363636363
668,-167.76666666666668
669,-167.76666666666668
670,-167.76666666666668
671,-304.3030303030303
672,-168.76666666666668
673,-418.6666666666667
674,-335.43333333333334
675,-187.40740740740742
676,-304.8484848484849
677,-334.6333333333333
678,-378.51515151515156
679,-150.24242424242425
680,-167.96666666666667
681,-151.87878787878788
682,-227.9090909090909
683,-302.8484848484849
684,-335.43333333333334
685,-210.16666666666666
686,-279.69444444444446
687,-252.2
688,-252.0
689,-129.74358974358975
690,-261.9166666666667
691,-255.02564102564105
692,-227.1818181818182
693,-304.3030303030303
694,-380.69696969696975
695,-187.1851851851852
696,-187.40740740740742
697,-252.2
698,-187.40740740740742
699,-334.6333333333333
700,-335.23333333333335
701,-335.23333333333335
702,-335.23333333333335
703,-335.23333333333335
704,-335.23333333333335
705,-252.0
706,-252.0
707,-252.0
708,-335.23333333333335
709,-335.23333333333335
710,-335.23333333333335
711,-335.23333333333335
712,-335.23333333333335
713,-335.23333333333335
714,-335.23333333333335
715,-335.23333333333335
716,-187.1851851851852
717,-279.8888888888889
718,-187.40740740740742
719,-252.2
720,-335.43333333333334
721,-252.2
722,-335.43333333333334
723,-335.43333333333334
724,-372.3703703703704
725,-279.8888888888889
726,-187.40740740740742
727,-187.40740740740742
728,-335.43333333333334
729,-252.2
730,-252.2
731,-335.43333333333334
732,-335.23333333333335
733,-252.0
734,-140.47222222222223
735,-192.84615384615384
736,-105.10416666666667
737,-192.3846153846154
738,-139.13888888888889
739,-257.64102564102564
740,-140.13888888888889
741,-238.88095238095238
742,-238.73809523809524
743,-238.73809523809524
744,-126.2051282051282
745,-117.40476190476191
746,-189.92307692307693
747,-139.13888888888889
748,-125.58974358974359
749,-220.0888888888889
750,-127.28205128205128
751,-208.66666666666666
752,-191.92307692307693
753,-192.84615384615384
754,-238.73809523809524
755,-179.28571428571428
756,-179.28571428571428
757,-261.2916666666667
758,-209.66666666666666
759,-239.73809523809524
760,-206.39583333333334
761,-209.02083333333334
762,-139.30555555555557
763,-278.86111111111114
764,-146.05882352941177
765,-276.02777777777777
766,-152.96969696969697
767,-192.84615384615384
768,-348.5555555555556
769,-186.96296296296296
770,-279.6666666666667
771,-372.14814814814815
772,-168.76666666666668
773,-168.56666666666666
774,-252.0
775,-279.6666666666667
776,-168.76666666666668
777,-335.03333333333336
778,-278.69444444444446
779,-238.88095238095238
780,-179.28571428571428
781,-177.57142857142858
782,-238.73809523809524
783,-119.40476190476191
784,-168.96666666666667
785,-210.20833333333334
786,-278.55555555555554
787,-372.3703703703704
788,-252.2
789,-372.3703703703704
790,-187.1851851851852
791,-252.0
792,-187.1851851851852
793,-372.14814814814815
794,-305.03030303030306
795,-229.36363636363637
796,-335.23333333333335
797,-252.0
798,-187.1851851851852
799,-187.40740740740742
800,-279.8888888888889
801,-372.3703703703704
802,-279.8888888888889
803,-279.8888888888889
804,-335.23333333333335
805,-304.6666666666667
806,-229.0
807,-229.0
808,-229.0
809,-305.03030303030306
810,-372.14814814814815
811,-251.8
812,-168.16666666666669
813,-304.3030303030303
814,-168.16666666666669
815,-210.16666666666666
816,-279.52777777777777
817,-304.6666666666667
818,-228.8181818181818
819,-229.1818181818182
820,-186.96296296296296
821,-304.8484848484849
822,-187.1851851851852
823,-252.0
824,-372.14814814814815
825,-252.0
826,-251.8
827,-153.33333333333334
828,-334.6333333333333
829,-251.4
830,-258.2564102564103
831,-186.74074074074076
832,-226.63636363636363
833,-158.375
834,-305.03030303030306
835,-279.8888888888889
836,-279.8888888888889
837,-187.40740740740742
838,-277.22222222222223
839,-335.23333333333335
840,-251.8
841,-167.13333333333333
842,-128.35897435897436
843,-237.45238095238096
844,-151.69696969696972
845,-138.30555555555557
846,-239.16666666666669
847,-96.3921568627451
848,-102.47916666666667
849,-110.84444444444445
850,-127.74358974358975
851,-194.66666666666669
852,-139.80555555555557
853,-185.90740740740742
854,-79.74603174603175
855,-304.6666666666667
856,-279.44444444444446
857,-193.15384615384616
858,-208.02083333333334
859,-228.0909090909091
860,-251.6
861,-239.88095238095238
862,-208.33333333333334
863,-120.40476190476191
864,-118.40476190476191
865,-88.35087719298247
866,-207.52083333333334
867,-167.53333333333333
868,-132.47368421052633
869,-112.04444444444445
870,-128.35897435897436
871,-113.27272727272727
872,-256.71794871794873
873,-178.71428571428572
874,-178.57142857142858
875,-178.57142857142858
876,-178.57142857142858
877,-128.66666666666669
878,-128.66666666666669
879,-128.66666666666669
880,-178.57142857142858
881,-178.57142857142858
882,-178.57142857142858
883,-178.57142857142858
884,-104.60416666666667
885,-64.48717948717949
886,-178.57142857142858
887,-128.66666666666669
888,-178.57142857142858
889,-128.66666666666669
890,-178.57142857142858
891,-119.11904761904762
892,-111.11111111111111
893,-178.57142857142858
894,-128.66666666666669
895,-238.02380952380955
896,-256.71794871794873
897,-208.27083333333334
898,-128.82051282051282
899,-260.2916666666667
900,-128.66666666666669
901,-178.57142857142858
902,-256.71794871794873
