,episode_scores
0,-191.51747973564284
1,-191.5174969991961
2,-95.86877437422038
3,-191.5175074583651
4,-191.51749390510696
5,-191.51747487999447
6,-191.51761618761216
7,-191.5173740938946
8,-176.21462719223902
9,-191.5179304862907
10,-95.86886764014037
11,-293.54430458886077
12,-287.166409923106
13,-264.21148708793197
14,-326.1359432828986
15,-95.86886263310583
16,-244.65659030174174
17,-330.2065281099169
18,-352.20818956054313
19,-254.0576543808137
20,-200.21189708569673
21,-287.1661524538044
22,-244.65638595258517
23,-326.13503262480634
24,-142.15177977784396
25,-314.49312733716044
26,-287.1662999199517
27,-53.22979007117843
28,-163.17822975029407
29,-157.35882470550882
30,-314.4957371164898
31,-235.92698598125062
32,-163.17792360121604
33,-244.65663166713097
34,-157.3590523800661
35,-169.44618568855637
36,-78.7929928024673
37,-178.5952236997723
38,-254.05821960971173
39,-191.5166498304772
40,-0.2580398997973515
41,-129.62900615313978
42,-0.2670495056625589
43,-275.21064649813167
44,-183.54671182891465
45,-213.1175391369646
46,-300.2088226440908
47,-169.44225137881338
48,-106.68384568421727
49,-157.35812990499716
50,-235.9269074011548
51,-157.35831484070744
52,-227.8007878280221
53,-151.94196630188605
54,-293.545417185732
55,-157.3601675135677
56,-104.9760825860915
57,-231.78815325330723
58,-293.54636202797445
59,-183.54614656677563
60,-235.9267236200338
61,-157.3583784149342
62,-95.87012885713885
63,-76.0797408506176
64,-95.86852699981137
65,-275.21002392609415
66,-191.5174514323629
67,-81.69896561619261
68,-235.92671883504082
69,-84.83251075059651
70,-206.46379744375992
71,-78.7958389122346
72,-91.8830829076902
73,99.81168998391011
74,199.81369840181458
75,199.8136856969754
76,99.81162463398802
77,-68.96469618576035
78,-0.24056320687488328
79,199.81369923156007
80,-244.6561386745627
81,99.81169457260411
82,-178.59298876846697
83,-209.73566688756944
84,-366.87356804807604
85,-300.20859589335083
86,-81.69897791993101
87,-81.69896746229571
88,-81.69903059292164
89,-176.21346107853836
90,-176.21405143791816
91,-0.24219062391535012
92,-244.65683805963837
93,-100.2159914134756
94,-314.49539118548125
95,-81.69896883538122
96,-81.69897472055493
97,-81.69897383427178
98,-81.69897152904834
99,-81.69893970685219
100,-338.6697221857677
101,-84.83282582814748
102,-165.22000162157846
103,-254.05577879094608
104,-137.71492952236494
105,-206.46565972493585
106,-314.49542271444346
107,-275.2124830391215
108,-352.20783719090366
109,-275.21086459306747
110,-400.2052560401117
111,-183.5470803445122
112,-200.2122904777375
113,-400.2051712298382
114,-200.21232494185912
115,-300.2087568119154
116,-400.2051712101921
117,-382.81507839733746
118,-400.20517137835964
119,-300.208766963719
120,-300.208756179159
121,-200.2123125171609
122,-300.2087401091952
123,-200.21235304858257
124,-200.21236247099006
125,-300.2087822149343
126,-300.208778394285
127,-200.212290524511
128,-91.88374311729973
129,-183.54698325643918
