molecule_name,atom_index,atom,x,y,z
dsgdb9nsd_000658,0,C,-0.0219289296,1.5283227940000002,0.044393620999999994
dsgdb9nsd_000658,1,C,1.407899099,2.085425325,-0.014287327399999999
dsgdb9nsd_000658,2,C,2.164123294,1.564454043,-1.2454269390000001
dsgdb9nsd_000658,3,C,2.156834239,0.0295174709,-1.301591782
dsgdb9nsd_000658,4,C,0.7270053072,-0.5275859521,-1.242911403
dsgdb9nsd_000658,5,C,-0.0292185328,-0.0066166388000000005,-0.0117729922
dsgdb9nsd_000658,6,H,-0.5294077315,1.878032827,0.950563698
dsgdb9nsd_000658,7,H,-0.5975353245,1.922611817,-0.8050583731000001
dsgdb9nsd_000658,8,H,1.3889537619999999,3.1811348789999996,-0.014773546200000001
dsgdb9nsd_000658,9,H,1.948751015,1.7848224480000001,0.8942177587000001
dsgdb9nsd_000658,10,H,1.688626089,1.9602405619999999,-2.154016395
dsgdb9nsd_000658,11,H,3.1934974460000003,1.940447969,-1.246420956
dsgdb9nsd_000658,12,H,2.664312827,-0.3202010834,-2.2077592669999997
dsgdb9nsd_000658,13,H,2.7324383610000003,-0.36477192799999997,-0.45213763450000005
dsgdb9nsd_000658,14,H,0.1861546946,-0.2269832513,-2.1514169169999997
dsgdb9nsd_000658,15,H,0.7459513455,-1.6232953669999999,-1.2424255579999999
dsgdb9nsd_000658,16,H,0.4462760281,-0.4024023226,0.8968173806
dsgdb9nsd_000658,17,H,-1.058595098,-0.38260359310000003,-0.0107827772
dsgdb9nsd_000948,0,N,-0.0159970617,1.328407755,0.008058586500000001
dsgdb9nsd_000948,1,C,0.0022730494,-0.018376013899999998,0.0008012278
dsgdb9nsd_000948,2,N,-1.1855244409999999,-0.6556055465999999,0.0041956097
dsgdb9nsd_000948,3,C,-1.086892912,-1.9775292969999998,-0.003381837
dsgdb9nsd_000948,4,N,0.0386257418,-2.697942587,-0.0136002979
dsgdb9nsd_000948,5,C,1.144186713,-1.947192964,-0.0159243876
dsgdb9nsd_000948,6,N,1.206920563,-0.6230761881,-0.0092704335
dsgdb9nsd_000948,7,H,0.8510425512,1.834875321,0.0057410119
dsgdb9nsd_000948,8,H,-0.8964566785,1.8111156000000002,0.0155841876
dsgdb9nsd_000948,9,H,-2.023444161,-2.532555124,-0.0009520711
dsgdb9nsd_000948,10,H,2.095448756,-2.476551455,-0.024163366600000003
dsgdb9nsd_000980,0,N,0.3034151227,1.4104237309999998,-0.0336325379
dsgdb9nsd_000980,1,C,0.0543457827,0.0436269905,-0.0070297488
dsgdb9nsd_000980,2,C,-1.045857668,-0.7560330195,0.0071368293000000005
dsgdb9nsd_000980,3,O,-2.337038239,-0.3646773686,0.0752223622
dsgdb9nsd_000980,4,N,-0.6834197664,-2.082276084,-0.0747061106
dsgdb9nsd_000980,5,C,0.6139903718,-2.043583479,-0.1231050427
dsgdb9nsd_000980,6,O,1.142551102,-0.8124704558,-0.1007937914
dsgdb9nsd_000980,7,H,0.4089646538,1.824745259,0.8869716165
dsgdb9nsd_000980,8,H,-0.419769733,1.910477676,-0.535280978
dsgdb9nsd_000980,9,H,-2.871151706,-1.1668164079999999,0.0363597303
dsgdb9nsd_000980,10,H,1.299524,-2.87516022,-0.164331479
dsgdb9nsd_001013,0,N,0.1068741223,-1.1525447359999998,-0.0050812271
dsgdb9nsd_001013,1,C,0.0250535473,0.0036335558,0.0025155116
dsgdb9nsd_001013,2,C,-0.0643675865,1.410225443,0.011621193899999998
dsgdb9nsd_001013,3,C,-1.144243277,2.27125888,0.030657045
dsgdb9nsd_001013,4,N,-0.7228578142000001,3.568585062,0.032430543
dsgdb9nsd_001013,5,C,0.5938367482,3.5126467939999997,0.0148396943
dsgdb9nsd_001013,6,N,1.048106424,2.235305428,0.0016577357999999999
dsgdb9nsd_001013,7,H,-2.1899169730000003,2.005989103,0.042892117300000004
dsgdb9nsd_001013,8,H,1.262155025,4.360577191,0.0108469768
dsgdb9nsd_001013,9,H,2.0072147240000002,1.927732539,-0.0126775407
dsgdb9nsd_001071,0,C,-0.0286632613,1.3931362980000002,0.035957979300000005
dsgdb9nsd_001071,1,O,-0.0093980023,-0.022898645099999997,0.022917684900000002
dsgdb9nsd_001071,2,C,0.6017674181,-0.5756905198,-1.048218013
dsgdb9nsd_001071,3,C,1.204463628,0.013701796499999998,-2.122765371
dsgdb9nsd_001071,4,O,1.687517213,-0.9560176729000001,-2.960828303
dsgdb9nsd_001071,5,C,1.38398061,-2.152302825,-2.405377189
dsgdb9nsd_001071,6,C,0.7194660489,-1.993260959,-1.2334596820000001
dsgdb9nsd_001071,7,H,0.9908643212999999,1.802118146,0.0420642593
dsgdb9nsd_001071,8,H,-0.5645940641,1.7890830119999999,-0.8374026487999999
dsgdb9nsd_001071,9,H,-0.5466873264,1.692760749,0.9476673806999999
dsgdb9nsd_001071,10,H,1.369022381,1.030884707,-2.429899699
dsgdb9nsd_001071,11,H,1.704075091,-3.021210915,-2.957163773
dsgdb9nsd_001071,12,H,0.35138422259999996,-2.759705121,-0.5706564265999999
dsgdb9nsd_001160,0,C,-0.0018875476999999999,1.5374812519999999,0.0395556188
dsgdb9nsd_001160,1,C,0.0046445565999999995,0.0003479853,0.006465601600000001
dsgdb9nsd_001160,2,O,0.6931569014,-0.43133438820000003,1.161414949
dsgdb9nsd_001160,3,C,-1.38729162,-0.5176430529,0.0027314366999999997
dsgdb9nsd_001160,4,N,-2.467312508,-0.9247092943999999,0.0376519111
dsgdb9nsd_001160,5,C,0.6873740384,-0.4824929593,-1.220936421
dsgdb9nsd_001160,6,N,1.250358625,-0.8617584733,-2.155053198
dsgdb9nsd_001160,7,H,1.0310402859999999,1.889506565,0.0454415713
dsgdb9nsd_001160,8,H,-0.5225938641,1.938251009,-0.8314994024
dsgdb9nsd_001160,9,H,-0.5047906387,1.863458328,0.9515447864
dsgdb9nsd_001160,10,H,0.7182591312000001,-1.396401421,1.175339297
dsgdb9nsd_001225,0,C,-0.1149262586,1.43244011,0.1174247366
dsgdb9nsd_001225,1,C,-0.0174055881,-0.0691493403,0.19714475050000002
dsgdb9nsd_001225,2,O,0.8101663806,-0.6922612088,0.8072105289
dsgdb9nsd_001225,3,O,-1.011173818,-0.6431146914,-0.5362999983
dsgdb9nsd_001225,4,C,-1.055036276,-2.070670905,-0.5703389254
dsgdb9nsd_001225,5,C,-2.356785402,-2.5554257330000003,0.0414243032
dsgdb9nsd_001225,6,O,-2.826030924,-3.639728085,-0.17459584879999998
dsgdb9nsd_001225,7,H,0.6538111247,1.880079967,0.7455647203
dsgdb9nsd_001225,8,H,0.0151115718,1.7568062830000002,-0.919104778
dsgdb9nsd_001225,9,H,-1.106164062,1.763115454,0.43886173149999996
dsgdb9nsd_001225,10,H,-0.9836637856999999,-2.403636376,-1.6091272859999999
dsgdb9nsd_001225,11,H,-0.21284949539999998,-2.479172953,-0.00026823490000000004
dsgdb9nsd_001225,12,H,-2.8368305780000003,-1.819261101,0.7249922203
dsgdb9nsd_001263,0,C,0.0110024783,1.5468463680000002,0.0098498812
dsgdb9nsd_001263,1,C,-0.020892930900000002,0.0074684389,0.0054723038
dsgdb9nsd_001263,2,C,-1.372640569,-0.5369334067,0.0106985947
dsgdb9nsd_001263,3,C,-2.50218563,-0.9594881127,0.014992993500000001
dsgdb9nsd_001263,4,C,-3.8882721460000003,-1.402544125,0.0247040442
dsgdb9nsd_001263,5,N,-4.032520052,-2.76079888,-0.0141116344
dsgdb9nsd_001263,6,O,-4.8298270830000005,-0.6333486653,0.054493523099999996
dsgdb9nsd_001263,7,H,1.04510069,1.903069813,0.0057521245
dsgdb9nsd_001263,8,H,-0.49748807149999996,1.9477634819999998,-0.8705566826000001
dsgdb9nsd_001263,9,H,-0.4887839215,1.942613203,0.8975429873
dsgdb9nsd_001263,10,H,0.5139812626,-0.37384395950000004,-0.8739029842
dsgdb9nsd_001263,11,H,0.5224622582,-0.378828203,0.8774728615999999
dsgdb9nsd_001263,12,H,-3.2389236269999997,-3.374991558,0.0341199945
dsgdb9nsd_001263,13,H,-4.962354148,-3.142072325,0.0462036027
dsgdb9nsd_001334,0,C,0.0566505324,1.511753647,-0.1460516475
dsgdb9nsd_001334,1,C,-0.0151049705,0.0190169818,0.10882574019999999
dsgdb9nsd_001334,2,C,-1.177405756,-0.6666613029999999,-0.5848879667
dsgdb9nsd_001334,3,N,1.287402344,-0.6813124973000001,0.1203236102
dsgdb9nsd_001334,4,C,0.49123804520000003,-0.6010906674000001,1.3675688030000002
dsgdb9nsd_001334,5,C,1.176773097,0.1240326111,2.5037514990000003
dsgdb9nsd_001334,6,O,2.321173733,-0.593600599,2.936346726
dsgdb9nsd_001334,7,H,0.9695264819,1.94785181,0.26106741829999996
dsgdb9nsd_001334,8,H,0.0489458468,1.7081161390000001,-1.22426104
dsgdb9nsd_001334,9,H,-0.8053138076,2.026582855,0.2927219302
dsgdb9nsd_001334,10,H,-1.101814944,-0.551371541,-1.6726285109999999
dsgdb9nsd_001334,11,H,-1.2064700959999999,-1.73701716,-0.3563697114
dsgdb9nsd_001334,12,H,-2.133731161,-0.2314364898,-0.2741889296
dsgdb9nsd_001334,13,H,1.194089343,-1.604795709,-0.29563889579999997
dsgdb9nsd_001334,14,H,-0.0097441877,-1.51722997,1.6785986919999998
dsgdb9nsd_001334,15,H,1.4417558330000002,1.147928833,2.206886038
dsgdb9nsd_001334,16,H,0.5080223817,0.192506865,3.368536451
dsgdb9nsd_001334,17,H,2.8512133960000003,-0.7333884348999999,2.141991773
dsgdb9nsd_001358,0,C,-0.0410302002,1.579982456,0.012361085
dsgdb9nsd_001358,1,C,0.0124912143,0.07255801719999999,0.0126398443
dsgdb9nsd_001358,2,O,-1.165825263,-0.5763831771,-0.3987465815
dsgdb9nsd_001358,3,C,1.311939613,-0.6673275971,-0.2807983744
dsgdb9nsd_001358,4,O,2.505279082,0.0340929226,-0.4442637337
dsgdb9nsd_001358,5,C,0.7012245702,-0.6904765211,1.110886267
dsgdb9nsd_001358,6,O,1.3751221869999999,0.07154607980000001,2.081978957
dsgdb9nsd_001358,7,H,0.903048025,2.01485488,0.34260739450000005
dsgdb9nsd_001358,8,H,-0.2422715336,1.948857176,-1.000346562
dsgdb9nsd_001358,9,H,-0.8391629654,1.933449212,0.6718116175
dsgdb9nsd_001358,10,H,-1.258911043,-0.43414642259999997,-1.348008642
dsgdb9nsd_001358,11,H,1.25192346,-1.5618012780000001,-0.8949726395000001
dsgdb9nsd_001358,12,H,2.729736959,0.38433780240000004,0.42939961530000004
dsgdb9nsd_001358,13,H,0.2020873772,-1.587122392,1.469672409
dsgdb9nsd_001358,14,H,1.948700527,-0.5250012468,2.575304124
dsgdb9nsd_001424,0,C,-0.0769359086,1.5066670519999998,-0.1421308963
dsgdb9nsd_001424,1,C,0.0970290215,0.0039009282,0.0209005622
dsgdb9nsd_001424,2,O,0.75178439,-0.31659343289999997,1.255255623
dsgdb9nsd_001424,3,C,2.047289535,-0.6967744598000001,1.2136116000000001
dsgdb9nsd_001424,4,O,2.676374968,-0.9504022373000001,2.193125209
dsgdb9nsd_001424,5,C,-1.229435104,-0.7551004758,0.020965858100000002
dsgdb9nsd_001424,6,O,-2.191309008,-0.4098123106,-0.6095242721
dsgdb9nsd_001424,7,H,0.8899416242,1.9975438030000001,-0.2769880601
dsgdb9nsd_001424,8,H,-0.7072870520000001,1.702959026,-1.01216766
dsgdb9nsd_001424,9,H,-0.5639479071,1.926888121,0.7414761620999999
dsgdb9nsd_001424,10,H,0.6866884594,-0.4053781358,-0.8163271096
dsgdb9nsd_001424,11,H,2.4426429880000002,-0.7478017498,0.1793655902
dsgdb9nsd_001424,12,H,-1.2200186370000001,-1.6708048080000002,0.6505082426
dsgdb9nsd_001445,0,C,-0.24815195550000002,1.5609448730000002,0.1825538053
dsgdb9nsd_001445,1,C,-0.2001360202,0.1034949567,-0.2685186768
dsgdb9nsd_001445,2,C,0.7500777504999999,-0.1164972318,-1.438695412
dsgdb9nsd_001445,3,O,1.398647825,0.766820528,-1.9580266240000002
dsgdb9nsd_001445,4,N,0.8155307584,-1.43224129,-1.8712921740000001
dsgdb9nsd_001445,5,C,1.6116672909999998,-1.864403635,-2.919134252
dsgdb9nsd_001445,6,N,1.6158203580000001,-3.089525392,-3.2556031180000002
dsgdb9nsd_001445,7,H,0.7409648039,1.904806224,0.4938944133
dsgdb9nsd_001445,8,H,-0.5771120326,2.209908419,-0.6323895279
dsgdb9nsd_001445,9,H,-0.9384095854000001,1.6785766430000002,1.022207653
dsgdb9nsd_001445,10,H,0.1127562833,-0.5525261787,0.554718984
dsgdb9nsd_001445,11,H,-1.196786923,-0.248691484,-0.5662734779999999
dsgdb9nsd_001445,12,H,0.26071227059999996,-2.142861342,-1.4149264119999998
dsgdb9nsd_001445,13,H,2.1815105790000002,-1.046463672,-3.363894604
dsgdb9nsd_001445,14,H,2.250677698,-3.237467666,-4.037884566000001
dsgdb9nsd_001527,0,C,0.0088511353,1.5046167330000002,-0.132422914
dsgdb9nsd_001527,1,C,0.0773219518,-0.0027481479999999997,0.0249589524
dsgdb9nsd_001527,2,O,0.6089458704,-0.5405819906,-1.19655275
dsgdb9nsd_001527,3,C,0.7342272568000001,-1.8931374859999999,-1.223321246
dsgdb9nsd_001527,4,O,0.43340340310000003,-2.628388959,-0.3079175235
dsgdb9nsd_001527,5,N,1.243224402,-2.28063515,-2.4237015140000002
dsgdb9nsd_001527,6,C,1.490797844,-3.6677236239999997,-2.7485946439999998
dsgdb9nsd_001527,7,H,1.0022651,1.92397084,-0.316091325
dsgdb9nsd_001527,8,H,-0.6405084172,1.7812744319999998,-0.9680388467000001
dsgdb9nsd_001527,9,H,-0.3924126724,1.955664632,0.7799917913
dsgdb9nsd_001527,10,H,0.7235920845,-0.29561964550000003,0.8586412893
dsgdb9nsd_001527,11,H,-0.9100891870000001,-0.43764659590000005,0.2101780432
dsgdb9nsd_001527,12,H,1.447088295,-1.557545033,-3.0923944139999997
dsgdb9nsd_001527,13,H,1.197616415,-4.262988571,-1.883030877
dsgdb9nsd_001527,14,H,0.9022262845,-3.9900022280000003,-3.6154646589999997
dsgdb9nsd_001527,15,H,2.5509883540000002,-3.8493033569999997,-2.9602587739999997
dsgdb9nsd_001659,0,C,0.0232578547,1.5304896469999998,-0.0516285471
dsgdb9nsd_001659,1,C,-0.1350423052,0.040444294900000004,0.2481374087
dsgdb9nsd_001659,2,C,-1.557814295,-0.4588345153,0.0915567865
dsgdb9nsd_001659,3,O,-2.503033661,0.29507463780000004,-0.0213113417
dsgdb9nsd_001659,4,C,-1.8134659080000002,-1.970308798,0.0602071722
dsgdb9nsd_001659,5,C,-1.288411576,-2.681648063,1.315482735
dsgdb9nsd_001659,6,O,-3.184909625,-2.2150345959999997,-0.097058239
dsgdb9nsd_001659,7,H,1.055391437,1.8490150459999999,0.1167995644
dsgdb9nsd_001659,8,H,-0.23999376030000003,1.7516895380000002,-1.089613097
dsgdb9nsd_001659,9,H,-0.6346300316,2.125418738,0.5856180432
dsgdb9nsd_001659,10,H,0.5215894336,-0.5718540051,-0.3829932707
dsgdb9nsd_001659,11,H,0.1733793179,-0.18113081949999998,1.279515022
dsgdb9nsd_001659,12,H,-1.258487238,-2.357742724,-0.8139673123000001
dsgdb9nsd_001659,13,H,-1.744897537,-2.258032449,2.215346446
dsgdb9nsd_001659,14,H,-1.561532959,-3.7382366960000004,1.261945031
dsgdb9nsd_001659,15,H,-0.1999451757,-2.610761691,1.398793886
dsgdb9nsd_001659,16,H,-3.5919033010000003,-1.335907315,-0.1684291381
dsgdb9nsd_001695,0,C,0.029086865299999997,1.3769341030000002,0.1025710835
dsgdb9nsd_001695,1,O,-0.0443396835,-0.020166571299999998,-0.0411033907
dsgdb9nsd_001695,2,C,0.6542262211,-0.5497329487,-1.166292804
dsgdb9nsd_001695,3,C,2.154440089,-0.6428694463,-0.8710241465
dsgdb9nsd_001695,4,C,-0.0003593078,-1.906617615,-1.486388746
dsgdb9nsd_001695,5,C,-1.4939533630000001,-1.731645231,-1.793951673
dsgdb9nsd_001695,6,C,0.705045367,-2.637989746,-2.636895883
dsgdb9nsd_001695,7,H,1.049112563,1.7334101709999998,0.310316211
dsgdb9nsd_001695,8,H,-0.3387263374,1.8991481890000002,-0.7950537193
dsgdb9nsd_001695,9,H,-0.606406389,1.647481187,0.9500981909999999
dsgdb9nsd_001695,10,H,0.49867511719999996,0.122207657,-2.029787414
dsgdb9nsd_001695,11,H,2.342368076,-1.370354667,-0.0744570163
dsgdb9nsd_001695,12,H,2.71861384,-0.9427740770999999,-1.7579004969999998
dsgdb9nsd_001695,13,H,2.549902601,0.3237958301,-0.5462784996
dsgdb9nsd_001695,14,H,0.09310535460000001,-2.516431349,-0.5767978897
dsgdb9nsd_001695,15,H,-1.978150729,-2.7031229619999997,-1.9368125630000002
dsgdb9nsd_001695,16,H,-2.000088248,-1.206733873,-0.982098019
dsgdb9nsd_001695,17,H,-1.636163436,-1.153606277,-2.715791705
dsgdb9nsd_001695,18,H,1.736680028,-2.905272397,-2.3933048180000003
dsgdb9nsd_001695,19,H,0.1738702778,-3.5636822930000003,-2.88003365
dsgdb9nsd_001695,20,H,0.7215049248000001,-2.022626724,-3.545004511
dsgdb9nsd_001773,0,N,0.1169254894,1.41966224,0.0362549364
dsgdb9nsd_001773,1,C,0.0354442028,-0.0069666730000000005,0.0846286877
dsgdb9nsd_001773,2,C,-0.5338649450999999,-0.6977862159999999,1.28234713
dsgdb9nsd_001773,3,C,-1.318693153,-0.7309612885,-0.0274888911
dsgdb9nsd_001773,4,O,-2.411495552,0.1292188051,-0.1557274703
dsgdb9nsd_001773,5,C,-1.408714802,-1.9675051540000001,-0.7621564953
dsgdb9nsd_001773,6,N,-1.476047144,-2.962870006,-1.34979355
dsgdb9nsd_001773,7,H,0.2022544532,1.7284106259999998,-0.9281278011
dsgdb9nsd_001773,8,H,-0.7433684220000001,1.8271213990000001,0.3904213646
dsgdb9nsd_001773,9,H,0.8648027934999999,-0.5022060121,-0.4090343209
dsgdb9nsd_001773,10,H,-0.071278654,-1.612996788,1.632830985
dsgdb9nsd_001773,11,H,-0.9732559256000001,-0.0762771806,2.05653239
dsgdb9nsd_001773,12,H,-3.1583215910000004,-0.2511321117,0.3209243759
dsgdb9nsd_001788,0,C,0.22131658469999999,1.523282684,0.23368195
dsgdb9nsd_001788,1,C,-0.1784003862,0.09073042710000001,-0.1463267698
dsgdb9nsd_001788,2,C,0.6191822974,-0.4881126622,-1.307945471
dsgdb9nsd_001788,3,C,0.4079488738,0.22056048179999999,-2.635579598
dsgdb9nsd_001788,4,C,2.005832186,-1.030208983,-1.027492755
dsgdb9nsd_001788,5,C,0.8838744678,-1.981049539,-1.381320185
dsgdb9nsd_001788,6,C,0.3633729417,-2.995032754,-0.3847712507
dsgdb9nsd_001788,7,H,1.284970737,1.578697979,0.4891784085
dsgdb9nsd_001788,8,H,0.0392055522,2.228518996,-0.5828915136999999
dsgdb9nsd_001788,9,H,-0.350691996,1.87017053,1.1000966509999999
dsgdb9nsd_001788,10,H,-0.0623051979,-0.5470681672,0.735491984
dsgdb9nsd_001788,11,H,-1.247885949,0.0676699662,-0.39805873329999997
dsgdb9nsd_001788,12,H,0.7227783059999999,1.269070871,-2.593527291
dsgdb9nsd_001788,13,H,0.9810352985999999,-0.2595856146,-3.4349617219999997
dsgdb9nsd_001788,14,H,-0.649291426,0.2033841082,-2.9280646860000004
dsgdb9nsd_001788,15,H,2.79479227,-0.8521409395,-1.751317552
dsgdb9nsd_001788,16,H,2.346451403,-1.027944172,0.0041637614
dsgdb9nsd_001788,17,H,0.9183375129000001,-2.368060956,-2.397876739
dsgdb9nsd_001788,18,H,0.4133049838,-2.630545755,0.6449724876
dsgdb9nsd_001788,19,H,-0.6785129340999999,-3.266020857,-0.5913100839000001
